"label","key_value","condition_value","sort_order"
"Hypochaeris glabra - Smooth cat's ear","HYPOGLAB","","381"
"Ibervillea tenuisecta","IBERTENU","","382"
"Ipomoea costellata","IPOMCOST","","383"
"Ipomoea cristulata","IPOMCRIS","","384"
"Ipomopsis longiflora","IPOMLONG","","385"
"Ipomopsis pumila","IPOMPUMI","","386"
"Isocoma menziesii","ISOCMENZ","","387"
"Isocoma pluriflora","ISOCPLUR","","388"
"Jaffueliobryum wrightii","JAFFWRIG","","389"
"Janusia gracilis","JANUGRAC","","390"
"Jatropha macrorhiza","JATRMACR","","391"
"Juncus mexicanus","JUNCMEXI","","392"
"Juncus patens","JUNCPATE","","393"
"Juniperus coahuilensis","JUNICOAH","","394"
"Juniperus monosperma","JUNIMONO","","395"
"Kallstroemia hirsutissima","KALLHIRS","","396"
"Kallstroemia parviflora","KALLPARV","","397"
"Kochia scoparia","KOCHSCOP","","398"
"Koeberlinia spinosa","KOEBSPIN","","399"
"Koeleria macrantha","KOELMACR","","400"
"Krameria erecta","KRAMEREC","","401"
"Krameria grayi","KRAMGRAY","","402"
"Krameria lanceolata","KRAMLANC","","403"
"Krascheninnikovia lanata","KRASLANA","","404"
"Lactuca serriola - Prickly wild lettuce","LACTSERR","","405"
"Laennecia coulteri","LAENCOUL","","406"
"Lagophylla ramosissima","LAGORAMO","","407"
"Lamarckia aurea","LAMAAURE","","408"
"Lamium amplexicaule - Henbit deadnettle","LAMIAMPL","","409"
"Lappula occidentalis","LAPPOCCI","","410"
"Larrea tridentata","LARRTRID","","411"
"Lasthenia californica - Common goldfields","LASTCALI","","412"
"Layia platyglossa - Coastal tidytips","LAYIPLAT","","413"
"Leersia oryzoides","LEERORYZ","","414"
"Lepidium alyssoides","LEPIALYS","","415"
"Lepidium lasiocarpum","LEPILASI","","416"
"Lepidium nitidum","LEPINITI","","417"
"Lepidium virginicum","LEPIVIRG","","418"
"Leptochloa dubia","LEPTDUBI","","419"
"Leptochloa fascicularis","LEPTFASC","","420"
"Leptochloa viscida","LEPTVISC","","421"
"Leptosyne gigantea - Giant coreopsis","LEPTGIGA","","422"
"Lesquerella fendleri","LESQFEND","","423"
"Lesquerella gordonii","LESQGORD","","424"
"Leuciva dealbata","LEUCDEAL","","425"
"Leymus condensatus - Giant rye grass","LEYMCOND","","426"
"Linanthus bigelovii","LINABIGE","","427"
"Linum australe","LINUAUST","","428"
"Linum pratense","LINUPRAT","","429"
"Linum vernale","LINUVERN","","430"
"Lithospermum incisum","LITHINCI","","431"
"Logfia filaginoides","LOGFFILA","","432"
"Logfia gallica","LOGFGALL","","433"
"Lomatium utriculatum","LOMAUTRI","","434"
"Lotus greenei","LOTUGREE","","435"
"Lotus plebeius","LOTUPLEB","","436"
"Lotus wrightii","LOTUWRIG","","437"
"Lupinus albifrons - Silver bush lupine","LUPIALBI","","438"
"Lupinus arboreus","LUPIARBO","","439"
"Lupinus bicolor - Bicolored lupine","LUPIBICO","","440"
"Lupinus brevicaulis","LUPIBREV","","441"
"Lupinus concinnus","LUPICONC","","442"
"Lupinus excubitus - Grape lupine","LUPIEXCU","","443"
